date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:50:03	3174/3174	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229b172a02c7a036b9e8eee3bb4f92081f%22	https://discord.com/assets/9b172a02c7a036b9e8eee3bb4f92081f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/9b172a02c7a036b9e8eee3bb4f92081f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:04	7469/7469	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2203e1ac95e0dd757f16dc200bf6af9ba3%22	https://discord.com/assets/03e1ac95e0dd757f16dc200bf6af9ba3.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/03e1ac95e0dd757f16dc200bf6af9ba3.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:04	6872/6872	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221416806a4bfc6697e12807cd303914b2%22	https://discord.com/assets/1416806a4bfc6697e12807cd303914b2.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/1416806a4bfc6697e12807cd303914b2.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:04	1895610/1895610	---M--	200	added ('OK')	image/png	etag:%228fb53e999888053aa3d85d4c61e26959%22	https://discord.com/assets/8fb53e999888053aa3d85d4c61e26959.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/8fb53e999888053aa3d85d4c61e26959.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:04	359/359	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22495e7ca1850af3ddc8bc130617549480%22	https://discord.com/assets/495e7ca1850af3ddc8bc130617549480.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/495e7ca1850af3ddc8bc130617549480.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:04	320/320	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ce73613685f715d326709ec90c1cd741%22	https://discord.com/assets/ce73613685f715d326709ec90c1cd741.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/ce73613685f715d326709ec90c1cd741.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:05	323/323	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f4e7ce8e56f954f5835783c9bd4ccaeb%22	https://discord.com/assets/f4e7ce8e56f954f5835783c9bd4ccaeb.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/f4e7ce8e56f954f5835783c9bd4ccaeb.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:05	376/376	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a04f42085864190541e748607e0f217f%22	https://discord.com/assets/a04f42085864190541e748607e0f217f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/a04f42085864190541e748607e0f217f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:05	376/376	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228aefe065ee9c1974b1b59b450e7e86a4%22	https://discord.com/assets/8aefe065ee9c1974b1b59b450e7e86a4.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/8aefe065ee9c1974b1b59b450e7e86a4.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:06	5899/5899	---M--	200	added ('OK')	image/png	etag:%2204d7ca8cfb04c92c05baf63d8dd3a84c%22	https://discord.com/assets/04d7ca8cfb04c92c05baf63d8dd3a84c.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/04d7ca8cfb04c92c05baf63d8dd3a84c.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:07	5906/5906	---M--	200	added ('OK')	image/png	etag:%2222a50c5f66884ef5762f0a0b96d1ef08%22	https://discord.com/assets/22a50c5f66884ef5762f0a0b96d1ef08.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/22a50c5f66884ef5762f0a0b96d1ef08.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:08	5910/5910	---M--	200	added ('OK')	image/png	etag:%223a213f4f415b8587b397fd6043d4bc1a%22	https://discord.com/assets/3a213f4f415b8587b397fd6043d4bc1a.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/3a213f4f415b8587b397fd6043d4bc1a.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:09	6783/6783	---M--	200	added ('OK')	image/png	etag:%22d691a1d7aa78c8b0b10f984d33f5e1e0%22	https://discord.com/assets/d691a1d7aa78c8b0b10f984d33f5e1e0.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/d691a1d7aa78c8b0b10f984d33f5e1e0.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:10	6783/6783	---M--	200	added ('OK')	image/png	etag:%22bf2d7cd12bbcec93478a485271fb31c6%22	https://discord.com/assets/bf2d7cd12bbcec93478a485271fb31c6.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/bf2d7cd12bbcec93478a485271fb31c6.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:11	6783/6783	---M--	200	added ('OK')	image/png	etag:%22e31367eb38fe285a4bbc86b2e62a42df%22	https://discord.com/assets/e31367eb38fe285a4bbc86b2e62a42df.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/e31367eb38fe285a4bbc86b2e62a42df.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:12	3443/3443	---M--	200	added ('OK')	image/png	etag:%221c20f6ecd2d83c1844a3fd6da306d239%22	https://discord.com/assets/1c20f6ecd2d83c1844a3fd6da306d239.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/1c20f6ecd2d83c1844a3fd6da306d239.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:13	3916/3916	---M--	200	added ('OK')	image/png	etag:%2264aaf58241b1f4a6c9655564d0f0b028%22	https://discord.com/assets/64aaf58241b1f4a6c9655564d0f0b028.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/64aaf58241b1f4a6c9655564d0f0b028.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:14	3914/3914	---M--	200	added ('OK')	image/png	etag:%229e50939d5d7ca61fdb9534298ff2d58a%22	https://discord.com/assets/9e50939d5d7ca61fdb9534298ff2d58a.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/9e50939d5d7ca61fdb9534298ff2d58a.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:14	4470/4470	---M--	200	added ('OK')	image/png	etag:%22c13a0b03a798023c27155fad5f0c7a61%22	https://discord.com/assets/c13a0b03a798023c27155fad5f0c7a61.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/c13a0b03a798023c27155fad5f0c7a61.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:15	4470/4470	---M--	200	added ('OK')	image/png	etag:%22eb0e7f0b11970eca575cbdc7718e8482%22	https://discord.com/assets/eb0e7f0b11970eca575cbdc7718e8482.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/eb0e7f0b11970eca575cbdc7718e8482.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:16	4470/4470	---M--	200	added ('OK')	image/png	etag:%2218d708afcc8653f148927a308b203be2%22	https://discord.com/assets/18d708afcc8653f148927a308b203be2.png	C:/webpages/Discord%20Web%20Page/discord.com/assets/18d708afcc8653f148927a308b203be2.png	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:17	12421/12421	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c4b381a414f9b84d817ec0eb59ffaf3f%22	https://discord.com/assets/c4b381a414f9b84d817ec0eb59ffaf3f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/c4b381a414f9b84d817ec0eb59ffaf3f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:17	12496/12496	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263a3f34794926b2ee4e5ef22b5c31e15%22	https://discord.com/assets/63a3f34794926b2ee4e5ef22b5c31e15.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/63a3f34794926b2ee4e5ef22b5c31e15.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:17	974/974	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b21bd7d0978d3e2d41eefa8993333435%22	https://discord.com/assets/b21bd7d0978d3e2d41eefa8993333435.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/b21bd7d0978d3e2d41eefa8993333435.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
